   y(mm)   u(m/s)
   2.3884240e+00   9.6202622e-01
   2.3942352e+00   9.6258538e-01
   2.4000465e+00   9.6313789e-01
   2.4058577e+00   9.6368381e-01
   2.4116690e+00   9.6422320e-01
   2.4174802e+00   9.6475614e-01
   2.4232915e+00   9.6528270e-01
   2.4291027e+00   9.6580294e-01
   2.4349140e+00   9.6631694e-01
   2.4407252e+00   9.6682477e-01
   2.4465365e+00   9.6732649e-01
   2.4523477e+00   9.6782218e-01
   2.4581590e+00   9.6831192e-01
   2.4639702e+00   9.6879577e-01
   2.4697815e+00   9.6927376e-01
   2.4755927e+00   9.6974577e-01
   2.4814040e+00   9.7021183e-01
   2.4872152e+00   9.7067200e-01
   2.4930265e+00   9.7112632e-01
   2.4988377e+00   9.7157484e-01
   2.5046490e+00   9.7201760e-01
   2.5104603e+00   9.7245466e-01
   2.5162715e+00   9.7288607e-01
   2.5220828e+00   9.7331187e-01
   2.5278940e+00   9.7373210e-01
   2.5337053e+00   9.7414683e-01
   2.5395165e+00   9.7455610e-01
   2.5453278e+00   9.7495995e-01
   2.5511390e+00   9.7535843e-01
   2.5569503e+00   9.7575160e-01
   2.5627615e+00   9.7613950e-01
   2.5685728e+00   9.7652219e-01
   2.5743840e+00   9.7689970e-01
   2.5801953e+00   9.7727209e-01
   2.5860065e+00   9.7763940e-01
   2.5918178e+00   9.7800170e-01
   2.5976290e+00   9.7835901e-01
   2.6034403e+00   9.7871140e-01
   2.6092515e+00   9.7905892e-01
   2.6150628e+00   9.7940160e-01
   2.6208740e+00   9.7973951e-01
   2.6266853e+00   9.8007268e-01
   2.6324965e+00   9.8040118e-01
   2.6383078e+00   9.8072504e-01
   2.6441190e+00   9.8104432e-01
   2.6499303e+00   9.8135907e-01
   2.6557415e+00   9.8166933e-01
   2.6615528e+00   9.8197515e-01
   2.6673640e+00   9.8227660e-01
   2.6731753e+00   9.8257370e-01
   2.6789865e+00   9.8286652e-01
   2.6847978e+00   9.8315510e-01
   2.6906090e+00   9.8343950e-01
   2.6964203e+00   9.8371975e-01
   2.7022315e+00   9.8399592e-01
   2.7080428e+00   9.8426805e-01
   2.7138540e+00   9.8453619e-01
   2.7196653e+00   9.8480039e-01
   2.7254765e+00   9.8506070e-01
   2.7312878e+00   9.8531717e-01
   2.7370990e+00   9.8556985e-01
   2.7429103e+00   9.8581879e-01
   2.7487215e+00   9.8606404e-01
   2.7545328e+00   9.8630565e-01
   2.7603440e+00   9.8654367e-01
   2.7661553e+00   9.8677815e-01
   2.7719665e+00   9.8700914e-01
   2.7777778e+00   9.8723669e-01
   2.7835890e+00   9.8746085e-01
   2.7894003e+00   9.8768166e-01
   2.7952115e+00   9.8789916e-01
   2.8010228e+00   9.8811338e-01
   2.8068340e+00   9.8832435e-01
   2.8126453e+00   9.8853210e-01
   2.8184565e+00   9.8873668e-01
   2.8242678e+00   9.8893810e-01
   2.8300790e+00   9.8913641e-01
   2.8358903e+00   9.8933164e-01
   2.8417015e+00   9.8952381e-01
   2.8475128e+00   9.8971297e-01
   2.8533240e+00   9.8989914e-01
   2.8591353e+00   9.9008237e-01
   2.8649465e+00   9.9026267e-01
   2.8707578e+00   9.9044010e-01
   2.8765690e+00   9.9061467e-01
   2.8823803e+00   9.9078642e-01
   2.8881915e+00   9.9095539e-01
   2.8940028e+00   9.9112161e-01
   2.8998140e+00   9.9128511e-01
   2.9056253e+00   9.9144592e-01
   2.9114365e+00   9.9160408e-01
   2.9172478e+00   9.9175963e-01
   2.9230590e+00   9.9191259e-01
   2.9288703e+00   9.9206299e-01
   2.9346815e+00   9.9221088e-01
   2.9404928e+00   9.9235629e-01
   2.9463040e+00   9.9249924e-01
   2.9521153e+00   9.9263978e-01
   2.9579265e+00   9.9277793e-01
   2.9637378e+00   9.9291373e-01
   2.9695490e+00   9.9304722e-01
   2.9753603e+00   9.9317842e-01
   2.9811715e+00   9.9330737e-01
   2.9869828e+00   9.9343410e-01
